,Location,Price,Apt Type,Num of Bath,Neighborhood,District
8839,East 83rd Street,"7,500",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
8840,E.55th Street + 1st Avenue,"4,100",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
8841,E 46th St,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
8842,28th Street by 5th Avenue,"6,800",2 Bed,2,NoMad, Midtown Manhattan
8843,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
8844,E 95th St,"4,750","2 Bed
/ Flex 3",2,"Yorkville, Upper East Side", Upper Manhattan
8845,West 36th Street,"4,490",1 Bed,1,Midtown South, Midtown Manhattan
8846,Broad Street,"3,254",Studio,1,Financial District, Downtown Manhattan
8847,Broad Street,"5,310","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8848,Pine St,"4,169",Studio,1,Financial District, Downtown Manhattan
8849,East 95th Street,"4,500",1 Bed,1,Upper East Side, Upper Manhattan
8850,Water Street,"3,071",Studio,1,Financial District, Downtown Manhattan
8851,"180 Water Street, Apt 1805","3,395",Studio,1,Financial District, Downtown Manhattan
8852,Fulton Street,"2,862","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8853,Pearl and Willam Streets,"6,936",2 Bed,2,Financial District, Downtown Manhattan
8854,"2 Gold Street, Apt 3202","4,495","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8855,Pearl and Fulton,"3,300","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
8856,East 77th Street,"7,095",3 Bed,2,Upper East Side, Upper Manhattan
8857,47 1/2 East 1st Street,"5,395",2 Bed,2,Bowery, Downtown Manhattan
8858,East 87th Street,"3,600",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
8859,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
8860,E 25th St.,"3,800","1 Bed
/ Flex 2",1,Kips Bay, Midtown Manhattan
8861,Washington Street,"2,950",Studio,1,Financial District, Downtown Manhattan
8862,"25 West 68th Street, Apt 4E","4,550",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
8863,Exchange Place,"3,350",Studio,1,Financial District, Downtown Manhattan
8864,East 26th Street,"12,995",4 Bed,4,"Rose Hill, Kips Bay", Midtown Manhattan
8865,"309 East 8th Street, Apt D2","4,295",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
8866,Fulton street,"4,455",1 Bed,1,Financial District, Downtown Manhattan
8867,West 38th Street,"4,100",1 Bed,1,"Garment District, Hudson Yards", Midtown Manhattan
8868,6th Ave/27,"7,130",2 Bed,1,Midtown South, Midtown Manhattan
8869,Amsterdam Avenue,"2,650",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
8870,East 88th and 1st Ave,"9,495",3 Bed,3,"Yorkville, Upper East Side", Upper Manhattan
8871,East 83rd Street,"3,100",1 Bed,1,Upper East Side, Upper Manhattan
8872,Trinity Pl,"3,000","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8873,Water Street,"3,000",1 Bed,1,Financial District, Downtown Manhattan
8874,"130 1st Avenue, Apt 3R.","4,550",2 Bed,2,East Village, Downtown Manhattan
8875,Barclay Street & Broadway,"5,195",1 Bed,1,Tribeca, Downtown Manhattan
8876,38th & 2nd,"2,795",1 Bed,1,Murray Hill, Midtown Manhattan
8877,William street,"3,776",Studio,1,Financial District, Downtown Manhattan
8878,"55 West 55th Street, Apt 0004A...","4,925",2 Bed,1,Midtown, Midtown Manhattan
8879,"96 5th Avenue, Apt 07A","5,500",1 Bed,1,Flatiron District, Midtown Manhattan
8880,East 3rd Street,"4,400","1 Bed
/ Flex 2",1,"Alphabet City, East Village", Downtown Manhattan
8881,Fourth Ave,"6,795",1 Bed,1,Greenwich Village, Downtown Manhattan
8882,Prince St. Nolita,"4,195",1 Bed,1,NoLita, Downtown Manhattan
8883,East 80th Street,"2,375",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
8884,West 59th Street,"5,995",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
8885,East 38th Street,"2,895",1 Bed,1,Murray Hill, Midtown Manhattan
8886,2nd Ave,"4,195",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
8887,"Lexington Ave , E 72nd Street","2,750",1 Bed,1,"Lenox Hill, Upper East Side", Upper Manhattan
8888,East 7th Street,"5,750",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
8889,"1142 1st Avenue, Apt 11","2,195",Studio,1,Upper East Side, Upper Manhattan
8890,"338 East 100th Street, Apt 3D","3,295",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
8891,East 96th Street & 3rd Ave,"3,999",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
8892,"206 West 21st Street, Apt A8","2,363",Studio,1,Chelsea, Midtown Manhattan
8893,342 East 55th Street,"3,350","1 Bed
/ Flex 2",1,"Sutton Place, Midtown East", Midtown Manhattan
8894,East 8th Street,"4,295",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
8895,"410 E 13th St, Apt 3F","4,295",2 Bed,1,East Village, Downtown Manhattan
8896,"124 East 24th Street, Apt 2C","3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
8897,56th street,"5,000",2 Bed,1,"Theater District, Midtown", Midtown Manhattan
8898,Wall Street,"3,995","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8899,West 96th Street,"5,500","2 Bed
/ Flex 3",2,Upper West Side, Upper Manhattan
8900,West End Avenue,"5,800",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
8901,East 36 street,"3,600",1 Bed,1,Murray Hill, Midtown Manhattan
8902,William Street,"6,995",4 Bed,2,Financial District, Downtown Manhattan
8903,East 49th Street,"3,550",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
8904,West 48th Street,"5,000",2 Bed,2,Hell's Kitchen, Midtown Manhattan
8905,"63 West 8th Street, Apt 03","3,250",Studio,1,Greenwich Village, Downtown Manhattan
8906,East 38th Street,"2,895",1 Bed,1,Murray Hill, Midtown Manhattan
8907,Wall Street,"3,195","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
8908,Second Avenue,"2,580",1 Bed,1,Midtown East, Midtown Manhattan
8909,Beaver St,"2,600","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
8910,First Ave,"9,385",3 Bed,2,Murray Hill, Midtown Manhattan
8911,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
8912,East 13th Street,"3,395",1 Bed,1.5,East Village, Downtown Manhattan
8913,Ridge Street,"3,495",1 Bed,1.5,Lower East Side, Downtown Manhattan
8914,265 Bowery,"12,000",2 Bed,2,Bowery, Downtown Manhattan
8915,Third Ave,"7,328",2 Bed,2,Murray Hill, Midtown Manhattan
8916,East 24th Street,"3,300",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
8917,East 24th Street,"3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
8918,265 Bowery,"12,000",2 Bed,2,Bowery, Downtown Manhattan
8919,Third Ave,"7,328",2 Bed,2,Murray Hill, Midtown Manhattan
8920,West 43rd Street,"4,803",1 Bed,1,Hell's Kitchen, Midtown Manhattan
8921,Gold Street,"4,085",1 Bed,1,Financial District, Downtown Manhattan
8922,West 58,"7,900",4 Bed,2,"Theater District, Midtown", Midtown Manhattan
8923,1/2 First Avenue,"4,795",2 Bed,2,East Village, Downtown Manhattan
8924,East 85th Street,"2,650",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
8925,Maiden Lane,"2,844","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
8926,West 44th Street,"6,412",3 Bed,2.5,Midtown, Midtown Manhattan
8927,Broad Street,"4,125","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8928,E 95th St,"3,000",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
8929,Pine Street,"6,195","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
8930,East 55th Street,"4,200",1 Bed,1,Midtown East, Midtown Manhattan
8931,East 5th Street,"6,895",4 Bed,1.5,East Village, Downtown Manhattan
8932,"450 West 42nd Street, Apt 35E","6,500","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
8933,"151 West 16th Street, Apt LJ","5,600",2 Bed,1,Chelsea, Midtown Manhattan
8934,East 25th Street,"3,795",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
8935,Fourth Ave,"9,500","2 Bed
/ Flex 3",2,Greenwich Village, Downtown Manhattan
8936,"360 East 57th Street, Apt 5","8,100","4 Bed
/ Flex 5",3,"Sutton Place, Midtown East", Midtown Manhattan
8937,"220 East 63rd Street, Apt 0005...","4,500",1 Bed,1,Upper East Side, Upper Manhattan
8938,"265 Bowery, Apt 2","12,000",2 Bed,2,Bowery, Downtown Manhattan
8939,"E 22nd Street, 2nd Ave","3,000",Studio,1,Gramercy Park, Midtown Manhattan
8940,Maiden Lane,"2,844","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
8941,East Harlem,"2,995",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
8942,East 24th Street,"3,600",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
8943,West 42 street,"4,090",1 Bed,1,Hell's Kitchen, Midtown Manhattan
8944,Spruce Street,"7,994",2 Bed,2,Financial District, Downtown Manhattan
8945,Tenth Ave,"6,495",2 Bed,1,Hell's Kitchen, Midtown Manhattan
8946,"156 East 37th Street, Apt 7","5,900",3 Bed,2,Murray Hill, Midtown Manhattan
8947,West St,"3,000","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
8948,"521 East 5th Street, Apt 2D","3,695",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
8949,William Street,"3,350",1 Bed,1,Financial District, Downtown Manhattan
8950,Upper West Side,"6,150",2 Bed,2,Upper West Side, Upper Manhattan
8951,East 83rd Street,"2,770",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
8952,"145 4th Avenue, Apt C","3,850","Studio
/ Flex 1",1,Greenwich Village, Downtown Manhattan
8953,West 56th Street,"7,100",2 Bed,2,"Theater District, Midtown", Midtown Manhattan
8954,13th Street,"8,000",2 Bed,2,"Alphabet City, East Village", Downtown Manhattan
8955,Ave A,"2,795",Studio,1,"Alphabet City, East Village", Downtown Manhattan
8956,"223 Mott Street, Apt 18","5,600",2 Bed,1,NoLita, Downtown Manhattan
8957,Park Row,"2,750",Studio,1,Financial District, Downtown Manhattan
8958,East 44th Street,"3,950",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
8959,East 22nd street,"3,200",Studio,1,Gramercy Park, Midtown Manhattan
8960,East 22nd Street,"3,200",Studio,1,Gramercy Park, Midtown Manhattan
8961,"223 Mott Street, Apt 18","5,600",2 Bed,1,NoLita, Downtown Manhattan
8962,Park Row,"2,750",Studio,1,Financial District, Downtown Manhattan
8963,East 44th Street,"3,950",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
8964,East 9th Street,"3,429",2 Bed,1,East Village, Downtown Manhattan
8965,"125 West 31 Street, Apt 37C","4,375","1 Bed
/ Flex 2",1,Midtown South, Midtown Manhattan
8966,East 87th Street,"2,700",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
8967,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
8968,East 33rd Street,"4,000","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
8969,"125 West 31 Street, Apt 55B","7,090","2 Bed
/ Flex 3",2,Midtown South, Midtown Manhattan
8970,East 28th Street,"3,495",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
8971,Gold Street,"6,290","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
8972,Liberty St,"2,600","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
8973,"227 East 85th Street, Apt 905","3,200",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
8974,95 Horatio Street,"7,300",2 Bed,2,West Village, Downtown Manhattan
8975,Eleventh Ave,"23,000",4 Bed,4,"Lincoln Square, Upper West Side", Upper Manhattan
8976,"441 East 12th Street, Apt 2H","4,500",2 Bed,1,East Village, Downtown Manhattan
8977,West 14th Street,"5,895",3 Bed,1,West Village, Downtown Manhattan
8978,"121 Madison Avenue, Apt 3F","7,495",3 Bed,2,NoMad, Midtown Manhattan
8979,Park Ave,"3,995",1 Bed,1,Murray Hill, Midtown Manhattan
8980,East 54th Street,"12,116",3 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
8981,Prince Street,"5,695",2 Bed,1,NoLita, Downtown Manhattan
8982,"20 Prince Street, Apt 27","5,995",2 Bed,1,NoLita, Downtown Manhattan
8983,East 54th Street,"12,116",3 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
8984,13th Street,"8,995",2 Bed,2,"Alphabet City, East Village", Downtown Manhattan
8985,Exchange Place,"3,475",Studio,1,Financial District, Downtown Manhattan
8986,East 11,"5,000",3 Bed,1,East Village, Downtown Manhattan
8987,East 80th Street,"9,500",2 Bed,2.5,Upper East Side, Upper Manhattan
8988,Pearl & Platt Streets,"6,495",2 Bed,2,Financial District, Downtown Manhattan
8989,East 54th Street,"4,265",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
8990,98th Street,"3,350",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
8991,"147 Avenue A, Apt 1R","11,995",4 Bed,1.5,East Village, Downtown Manhattan
8992,Worth Street,"4,300",1 Bed,1,Civic Center, Downtown Manhattan
8993,Beekman Street,"5,700","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
8994,"184 Thompson St, Apt 5S","4,250",1 Bed,1,Greenwich Village, Downtown Manhattan
8995,East 75th St,"5,937",3 Bed,2,Upper East Side, Upper Manhattan
8996,East 102nd Street,"4,300",3 Bed,2,East Harlem, Upper Manhattan
8997,9th Ave,"5,000","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
8998,Wall St,"3,500",Studio,1,Financial District, Downtown Manhattan
8999,E 10th St,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9000,"150 E 85th St, Apt 5B","3,950",1 Bed,1,Upper East Side, Upper Manhattan
9001,East 61st Street,"4,500",2 Bed,1,Upper East Side, Upper Manhattan
9002,1st Ave/East 54th Street,"12,639",3 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
9003,East 54th Street,"11,100","3 Bed
/ Flex 4",2.5,"Sutton Place, Midtown East", Midtown Manhattan
9004,East 61st Street,"4,500",2 Bed,1,Upper East Side, Upper Manhattan
9005,Wall st Crest,"3,800","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
9006,Amsterdam Avenue,"2,600",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9007,"229 East 12th Street, Apt 71","6,200",3 Bed,1,East Village, Downtown Manhattan
9008,"37-39 Clinton Street, Apt 2C","2,750",1 Bed,1,Lower East Side, Downtown Manhattan
9009,"117 East 89th Street, Apt 0002...","2,800",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
9010,"452 Fort Washington Avenue, Ap...","38,600",Studio,3,"Hudson Heights, Washington Heights", Upper Manhattan
9011,"145 East 16th Street, Apt 18B","11,500",3 Bed,2,Gramercy Park, Midtown Manhattan
9012,East 90's Street,"5,600",3 Bed,2,Upper East Side, Upper Manhattan
9013,"1425 York Avenue, Apt 3","4,450",3 Bed,2,Upper East Side, Upper Manhattan
9014,"11 West 8th Street, Apt 2A","5,790",2 Bed,1,Greenwich Village, Downtown Manhattan
9015,West 38th Street,"6,995",2 Bed,2,Hudson Yards, Midtown Manhattan
9016,East 95th Street,"7,400",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
9017,Pearl Street,"3,275","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9018,"166 West 72nd Street, Apt 2C","3,999",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
9019,Cliff and Pearl Street,"5,494",2 Bed,1,Financial District, Downtown Manhattan
9020,1590 1 Avenue,"3,850",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9021,Madison Avenue,"4,995",1 Bed,1,NoMad, Midtown Manhattan
9022,East 29th Street,"5,495",1 Bed,1,NoMad, Midtown Manhattan
9023,"206 West 21st Street, Apt A8","2,450",Studio,1,Chelsea, Midtown Manhattan
9024,E 95th St,"4,650","2 Bed
/ Flex 3",2,"Yorkville, Upper East Side", Upper Manhattan
9025,E 95th St,"4,750","2 Bed
/ Flex 3",2,"Yorkville, Upper East Side", Upper Manhattan
9026,1590 1 Avenue,"3,850",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9027,Madison Avenue,"4,995",1 Bed,1,NoMad, Midtown Manhattan
9028,East 29th Street,"5,495",1 Bed,1,NoMad, Midtown Manhattan
9029,"206 West 21st Street, Apt A8","2,450",Studio,1,Chelsea, Midtown Manhattan
9030,East 46th Street,"3,700",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9031,East 15th Street and 1st Ave,"5,400",2 Bed,1,Gramercy Park, Midtown Manhattan
9032,"309 East 8th Street, Apt D2","4,895",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9033,East 57th Street,"6,700",2 Bed,2,Midtown East, Midtown Manhattan
9034,East 86th Street,"3,900",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
9035,East 68th Street and 3rd ave,"2,800",Studio,1,Upper East Side, Upper Manhattan
9036,Water Street,"3,071",Studio,1,Financial District, Downtown Manhattan
9037,West 55th Street,"3,550",1 Bed,1,Midtown, Midtown Manhattan
9038,"217 East 69th Street, Apt PENT...","3,490",Studio,1,Upper East Side, Upper Manhattan
9039,"305 East 86th Street, Apt 2SE","4,700",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9040,First Ave,"4,769",1 Bed,1,Murray Hill, Midtown Manhattan
9041,Wall Street,"3,130","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9042,Water Street,"3,350",Studio,1,Financial District, Downtown Manhattan
9043,Broad Street,"6,525","1 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
9044,West 57th Street,"5,995","2 Bed
/ Flex 3",2,Hell's Kitchen, Midtown Manhattan
9045,East 22nd Street,"3,200",Studio,1,Gramercy Park, Midtown Manhattan
9046,"529 E 84th St, Apt 4B","3,950",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9047,E.87th St & 2nd Ave,"3,400",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
9048,,"4,350",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9049,28th Street and 2nd Ave,"6,375",3 Bed,1.5,Kips Bay, Midtown Manhattan
9050,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
9051,"15 East 7th Street, Apt 34","7,800","2 Bed
/ Flex 3",2,East Village, Downtown Manhattan
9052,Fulton Street,"5,900","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
9053,109th Street & Broadway,"3,850",3 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9054,East 29th Street,"2,995",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
9055,West 24th Street,"5,795",1 Bed,1,Flatiron District, Midtown Manhattan
9056,East 32nd street,"2,695",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9057,River Place,"5,800","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
9058,Leonard Street,"16,500",3 Bed,3,Tribeca, Downtown Manhattan
9059,Water Street,"8,495",5 Bed,2,Financial District, Downtown Manhattan
9060,West 97th and Columbus Avenue,"4,635",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9061,John Street,"3,117",Studio,1,Financial District, Downtown Manhattan
9062,East 16th,"4,350",2 Bed,1,Gramercy Park, Midtown Manhattan
9063,Bedford Street,"3,100",Studio,1,West Village, Downtown Manhattan
9064,East 57th Street,"5,300","1 Bed
/ Flex 2",1,Midtown East, Midtown Manhattan
9065,West 144th Street,"4,200",4 Bed,1.5,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
9066,West 31st Street,"5,200",1 Bed,1,Midtown South, Midtown Manhattan
9067,East 24th Street,"3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
9068,46th st,"3,750",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9069,"308 East 52nd Street, Apt 2F","3,800",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9070,East 10th St & Avenue C *NO-FE...,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9071,"153 East 32nd Street, Apt 9G","3,995",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9072,East 89th Street,"2,800",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
9073,E.3rd St & Ave C ONE-MONTH BR...,"4,900",3 Bed,2,"Alphabet City, East Village", Downtown Manhattan
9074,Madison Ave,"5,235",1 Bed,1,NoMad, Midtown Manhattan
9075,East 22nd Street,"10,410",5 Bed,2,Gramercy Park, Midtown Manhattan
9076,West 68th Street,"4,500",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
9077,Second Avenue,"4,900",1 Bed,2,East Village, Downtown Manhattan
9078,West 72nd Street,"2,200",Studio,1,Upper West Side, Upper Manhattan
9079,East 46th Street,"2,900",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
9080,"27 West 68th Street, Apt 9F","6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9081,"27 West 68th Street, Apt 7G","6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9082,Seventh Avenue,"8,200","3 Bed
/ Flex 5",2,"Theater District, Midtown", Midtown Manhattan
9083,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
9084,Columbus Circle,"13,995",2 Bed,2.5,Hell's Kitchen, Midtown Manhattan
9085,48B,"15,000",2 Bed,2.5,Murray Hill, Midtown Manhattan
9086,"240 Centre St, Apt 5B","27,500",3 Bed,2,Little Italy, Downtown Manhattan
9087,East 46 street,"3,000",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
9088,Washington Street,"$2,950",Studio,1,Financial District, Downtown Manhattan
9089,East 27st. and Lexington avenu...,"2,795",Studio,1,"NoMad, Rose Hill", Midtown Manhattan
9090,"44 Avenue B, Apt 2C","3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9091,"521 East 5th Street, Apt 2D","3,695",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
9092,East 26th Street,"6,295",3 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
9093,East 26th Street,"7,295",4 Bed,2.5,"Rose Hill, Kips Bay", Midtown Manhattan
9094,East 27st. and Lexington avenu...,"2,795",Studio,1,"NoMad, Rose Hill", Midtown Manhattan
9095,Second Avenue,"3,515",Studio,1,Kips Bay, Midtown Manhattan
9096,West 86th Street,"2,806",Studio,1,Upper West Side, Upper Manhattan
9097,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
9098,East 48th Street,"5,100",1 Bed,1.5,"Turtle Bay, Midtown East", Midtown Manhattan
9099,Beekman Place,"3,200",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
9100,East 16th Street,"11,500",4 Bed,3,Gramercy Park, Midtown Manhattan
9101,East 69th Street,"6,300","2 Bed
/ Flex 3",2,Upper East Side, Upper Manhattan
9102,"25 West 68th Street, Apt 8","7,999",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9103,John Street & Water Street,"7,159",3 Bed,3,Financial District, Downtown Manhattan
9104,West 68th Street,"6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9105,William Street,"8,296","3 Bed
/ Flex 5",2.5,Financial District, Downtown Manhattan
9106,Exchange Place,"3,925",1 Bed,1,Financial District, Downtown Manhattan
9107,Fulton Street,"3,500",2 Bed,1,Financial District, Downtown Manhattan
9108,East 54th Street,"6,407",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
9109,Wall St.,"2,875","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9110,John St.,"5,400","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
9111,,"5,995",3 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
9112,East 30th Street,"5,650",3 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
9113,West 108th Street,"4,495",3 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
9114,East 27st. and Lexington avenu...,"2,795",Studio,1,"NoMad, Rose Hill", Midtown Manhattan
9115,Second Avenue,"3,515",Studio,1,Kips Bay, Midtown Manhattan
9116,West 86th Street,"2,806",Studio,1,Upper West Side, Upper Manhattan
9117,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
9118,East 48th Street,"5,100",1 Bed,1.5,"Turtle Bay, Midtown East", Midtown Manhattan
9119,Beekman Place,"3,200",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
9120,East 16th Street,"11,500",4 Bed,3,Gramercy Park, Midtown Manhattan
9121,East 69th Street,"6,300","2 Bed
/ Flex 3",2,Upper East Side, Upper Manhattan
9122,"25 West 68th Street, Apt 8","7,999",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9123,John Street & Water Street,"7,159",3 Bed,3,Financial District, Downtown Manhattan
9124,West 68th Street,"6,900",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
9125,William Street,"8,296","3 Bed
/ Flex 5",2.5,Financial District, Downtown Manhattan
9126,Exchange Place,"3,925",1 Bed,1,Financial District, Downtown Manhattan
9127,Fulton Street,"3,500",2 Bed,1,Financial District, Downtown Manhattan
9128,East 54th Street,"6,407",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
9129,Wall St.,"2,875","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9130,John St.,"5,400","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
9131,"Pine Street,","6,515",2 Bed,2,Financial District, Downtown Manhattan
9132,Columbus Avenue,"4,667",3 Bed,2,"Manhattan Valley, Upper West Side", Upper Manhattan
9133,west 106 st New York,"4,500",3 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
9134,Wall St.,"2,875","Studio
/ Flex 1",1,Financial District, Downtown Manhattan
9135,John St.,"5,400","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
9136,"Pine Street,","6,515",2 Bed,2,Financial District, Downtown Manhattan
9137,First Avenue,"2,395",1 Bed,1,Upper East Side, Upper Manhattan
9138,East 9th Street,"3,595",1 Bed,1,East Village, Downtown Manhattan
9139,Pine Street,"5,298",1 Bed,1,Financial District, Downtown Manhattan
9140,Park Row,"2,995",Studio,1,Financial District, Downtown Manhattan
9141,"555 West 38th Street, Apt 4806...","5,289",1 Bed,1,Hudson Yards, Midtown Manhattan
9142,Water Street,"5,775",1 Bed,2,Financial District, Downtown Manhattan
9143,West 13th Street,"3,050",Studio,1,West Village, Downtown Manhattan
9144,2nd Avenue,"5,075",1 Bed,1,Kips Bay, Midtown Manhattan
9145,Christopher Street,"4,695",Studio,1,West Village, Downtown Manhattan
9146,Sixth Ave,"4,595",1 Bed,1,Midtown South, Midtown Manhattan
9147,East 56th Street,"2,695",Studio,1,Midtown East, Midtown Manhattan
9148,70 Battery Place,"3,700","1 Bed
/ Flex 2",1,Battery Park City, Downtown Manhattan
9149,Spruce Street,"4,180",Studio,1,Financial District, Downtown Manhattan
9150,"3rd Ave , East 89th Street","2,400",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
